"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
158,11804158120000,Orchid,"Air Freshners",25.5,25.5,,43,43
159,11804229820000,"Pen Holder Wood",Stationary,135,135,,5,5
160,11804158130000,Phenyle-1L,"Floor Cleaner",82,82,"Standard Finis Oil Co.",2,2
161,11804229310000,"Pistachios (Pestabadam) - 100gm",Grossary,0,0,Local,0,0
162,11804229320000,"Pointer Gourd",Vegetables,0,0,Local,0,0
163,11804229330000,Potato,Vegetables,0,0,Local,0,0
164,11804229340000,"Puffed Rice - 1kg",Snacks,105,105,Local,1,1
165,11804229350000,"Puffed Rice - 500gm",Snacks,0,0,Local,0,0
166,11804229360000,"Raisins (Kishmish) - 100gm",Grossary,44,44,Local,1,1
167,11804229370000,"Raisins (Kishmish) - 250gm",Grossary,110,110,Local,1,1
168,11807059910000,"Rice Polaur",Cooking,0,0,ACI,0,0
169,11804158140000,"Rin Powder-1kg","Cloth Detergent",89.67,89.67,Uniliver,14,14
170,11804158150000,"Rin Powder-500gm","Cloth Detergent",47.38,47.38,Uniliver,16,16
171,11804158160000,"Rok - 900ml","Floor Cleaner",140,140,"Tradeworth Household Ltd",9,9
172,11804158170000,"Rok 350ml - Rifill","Glass Cleaner",60,60,"Tradeworth Household Ltd",1,1
173,11804158180000,"Rok Bleaching Powder - 500gm","Floor Cleaner",40,40,"Tradeworth Household Ltd",1,1
174,11804158190000,"Rok with Spray - 350ml","Glass Cleaner",95,95,"Tradeworth Household Ltd",1,1
175,11804158200000,"Roof Broom Long & Plastic","Cleaning Accessories",130,130,China,1,1
176,11804229830000,"Rubber Band Small Packet",Stationary,0,0,,0,0
177,11804229380000,"Salad Leaf",Vegetables,0,0,Local,0,0
178,11804229390000,"Salted Biscuit",Snacks,0,0,,0,0
179,11804158210000,"Savlon - 180 ml Refill",Handwash,49,49,ACI,1,1
180,11804158220000,Savlon-1L,"Antiseptic Liquid",195,195,ACI,1,1
181,11804229620000,"Scale Steel - 12""",Stationary,10.4,10.4,,29,29
182,11804229630000,"Scale Steel - 6""",Stationary,6.5,6.5,,7,7
183,11804229400000,"Snake Gourd",Vegetables,0,0,Local,0,0
184,11804229410000,"Sponge Gourd",Vegetables,0,0,Local,0,0
185,11804158240000,"Steel Scrubber Master","Dishwashing Accessories",9.17,9.17,Local,18,18
186,11804158230000,"Steel Scrubber Sun","Dishwashing Accessories",6.67,6.67,Local,16,16
187,11804229420000,"String Bean",Vegetables,0,0,Local,0,0
188,11804158260000,"Sugar-1kg Fresh","Pantry Items",57,57,"Meghna Group",1,1
189,11804158250000,"Sugar-1kg Teer","Pantry Items",59,59,"City Group",5,5
190,11804158270000,Sugar-500gm,"Pantry Items",30,30,Kwality,1,1
191,11804158280000,"Sunsilk 375 ml",Shampoo,242.5,242.5,Uniliver,6,6
192,11804158290000,"Sunsilk 7ml Minipack",Shampoo,1.89,1.89,Uniliver,6,6
193,11804158300000,"Surf Excel-1kg","Cloth Detergent",149,149,Uniliver,3,3
194,11804158310000,"Surf Excel-500gm","Cloth Detergent",78.93,78.93,Uniliver,3,3
195,11804158320000,"Surf Excel-Mini Pack","Cloth Detergent",4.49,4.49,Uniliver,3,3
196,11804229430000,"Sweet Pumpkin",Vegetables,0,0,Local,0,0
197,11804158330000,"Tea-200gm Ispahani","Pantry Items",72.5,72.5,Isphani,1,1
198,11804158340000,"Tea-200gm Taza","Pantry Items",76.92,76.92,Uniliver,36,36
199,11804158350000,"Tea-400gm Ispahani","Pantry Items",142,142,Isphani,1,1
200,11804158360000,"Tea-400gm Sylon","Pantry Items",148,148,"Abul Khair",5,5
201,11804158370000,"Tea-400gm Taza","Pantry Items",149,149,Uniliver,23,23
202,11804158380000,"Tea-50Bag Ispahani","Pantry Items",67,67,Isphani,19,19
203,11804158390000,"Tea-50Bag Taza","Pantry Items",72.5,72.5,Uniliver,1,1
204,11804158400000,"Tea-Twinings-Earl Grey","Pantry Items",300,300,"Associated British Foods",1,1
205,11804158410000,"Tissue-Napkin Bashundhara","Tissue Paper",39,39,Bashundhara,26,26
206,11804158420000,"Tissue-Napkin Meghna","Tissue Paper",39,39,"Meghna Group",1,1
207,11804158430000,"Toilet Tissue","Tissue Paper",13,13,Bashundhara,80,80
208,11804158440000,"Toilet Tissue (02)","Tissue Paper",62,62,"Kallol Group of Industries",1,1
209,11804158450000,"Toilet Tissue (03)","Tissue Paper",14,14,"Meghna Group",1,1
210,11804229440000,"Tomato - 1kg",Vegetables,0,0,Local,0,0
211,11804158460000,"Trix - 250ml Refill","Dishwashing Detergent",31.5,31.5,"Reckitt & Benckeiser Ltd",1,1
212,11804158470000,"Trix 500ml Bottle","Dishwashing Detergent",68,68,"Reckitt & Benckeiser Ltd",7,7
213,11804158480000,"Vim - 250ml Bottle","Dishwashing Detergent",32.43,32.43,Uniliver,11,11
214,11804158490000,"Vim - 500ml Bottle","Dishwashing Detergent",72.5,72.5,Uniliver,16,16
215,11804158500000,"Vim Powder 500gm Bottle","Dishwashing Detergent",27,27,Uniliver,24,24
216,11804158510000,"Vim-325gm Bar","Dishwashing Detergent",27,27,Uniliver,36,36
217,11804158520000,"Vixol White 500 ml (Thailand)","Floor Cleaner",110,110,Thailand,2,2
218,11804229450000,Watermelon,Fruit,0,0,Local,0,0
219,11804158530000,"Wheel Powder-1kg","Cloth Detergent",64,64,Uniliver,1,1
220,11804158540000,"Wheel Powder-500gm","Cloth Detergent",34.68,34.68,Uniliver,12,12
221,11804158550000,"Zero Cal-100 Tablet","Sugar Substitute",115,115,"Square Foods Ltd",1,1
222,11804158560000,"Zero Cal-Suger 75 Pices","Sugar Substitute",148,148,"Square Foods Ltd",11,11
